6956,6 
10004,3 
6956,6 
5057,2 
6956,6 
6318,7 
6956,6 
6922,4 
6956,6 
7178,2 
2962,7 
5448,8 
2962,7 
5024,3 
2962,7 
4574,9 
2962,7 
3959,6 
2962,7 
3254,7 
6974,4 
5466,5 
6974,4 
5948,0 
6974,4 
6413,8 
6974,4 
6591,5 
6974,4 
6385,9 
2947,5 
2401,0 
2947,5 
2286,9 
2947,5 
2130,1 
2947,5 
1885,5 
2947,5 
2122,2 
2887,2 
1799,2 
2887,2 
1714,0 
2887,2 
1626,8 
2887,2 
1496,1 
2887,2 
1878,7 
2871,1 
1941,6 
2871,1 
1954,8 
2871,1 
1843,3 
2871,1 
1639,1 
2871,1 
1895,6 
2863,1 
2508,6 
2863,1 
2480,9 
2863,1 
2425,6 
2863,1 
2079,5 
2863,1 
2121,1 
2825,5 
10004,3 
2825,5 
3533,2 
2825,5 
3338,8 
2825,5 
3012,1 
2825,5 
2664,1 
2821,2 
10004,3 
2821,2 
10004,3 
2821,2 
4127,2 
2821,2 
3874,9 
2821,2 
3173,6 
2842,0 
10004,3 
2842,0 
3708,9 
2842,0 
4481,6 
2842,0 
4788,0 
2842,0 
3738,6 
2848,9 
1665,2 
2848,9 
3087,6 
2848,9 
4122,5 
2848,9 
5216,9 
2848,9 
4131,9 
2854,0 
1723,9 
2854,0 
2465,8 
2854,0 
3222,5 
2854,0 
5110,0 
2854,0 
4492,2 
2890,1 
2231,6 
2890,1 
2513,7 
2890,1 
3286,6 
2890,1 
4756,8 
2890,1 
4964,9 
2928,0 
2899,0 
2928,0 
2897,6 
2928,0 
4354,2 
2928,0 
6558,6 
2928,0 
5343,1 
2867,1 
4588,3 
2867,1 
4440,9 
2867,1 
6589,1 
2867,1 
8326,6 
2867,1 
5480,6 
2848,6 
8941,6 
2848,6 
7146,4 
2848,6 
8197,6 
2848,6 
8559,5 
2848,6 
5534,2 
2819,9 
9005,8 
2819,9 
8979,3 
2819,9 
8938,6 
2819,9 
8878,7 
2819,9 
5619,2 
2801,6 
9043,1 
2801,6 
9031,7 
2801,6 
8946,3 
2801,6 
8894,2 
2801,6 
5662,0 
2956,0 
9100,8 
2956,0 
9083,8 
2956,0 
9033,1 
2956,0 
9019,9 
2956,0 
5778,2 
2926,2 
9118,9 
2926,2 
9099,0 
2926,2 
9076,6 
2926,2 
9048,1 
2926,2 
5787,9 
2896,0 
9134,6 
2896,0 
9116,1 
2896,0 
9073,2 
2896,0 
9048,0 
2896,0 
5783,1 
2897,5 
9124,4 
2897,5 
9091,7 
2897,5 
9062,1 
2897,5 
9039,0 
2897,5 
5767,7 
2877,6 
9129,0 
2877,6 
9085,4 
2877,6 
9054,3 
2877,6 
9016,6 
2877,6 
5760,4 
2854,4 
9101,3 
2854,4 
9086,5 
2854,4 
9036,9 
2854,4 
9021,5 
2854,4 
5781,4 
2858,0 
9104,1 
2858,0 
9086,2 
2858,0 
9084,4 
2858,0 
9042,8 
2858,0 
5746,1 
2897,5 
9111,3 
2897,5 
8912,3 
2897,5 
8924,8 
2897,5 
8904,3 
2897,5 
5701,1 
2909,1 
5834,4 
2909,1 
5809,0 
2909,1 
8605,2 
2909,1 
8799,0 
2909,1 
